type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
003f3e6fc1634f4fc95c9a2e80bcf1fa,0.04317032,-0.042009678,-0.0032479018,-0.0025276833,0.021568384,-0.09229358,-0.08644391,0.0071422937,0.016674427,-0.00874627,-0.108454935,-0.16023996,0.049053457,-0.010545641,0.14731973,-0.0395888,-0.034891218,0.027342902,-0.020469612,0.10513015,-0.045793526,0.037711777,-0.038038768,0.13913935,0.099147685,-0.017248094,0.024036922,0.09279756,0.007907272,0.0048400452,-0.0013494121,-0.045206215,0.01018532,0.14732121,0.081024475,0.019826325,-0.011780564,-0.10103895,-0.05142302,-0.016228138,-0.13846073,0.008920822,0.10935926,-0.010814529,0.02218655,0.11702537,-0.023592861,0.12540472,0.017968573,-0.083731696,0.017438013,0.05504557,0.03801169,-0.09710433,-0.02276089,-0.17238174,0.035225596,-0.0063643456,-0.080294974,0.074995466,0.09654094,0.03709109,-0.140588,0.05761999,0.004462048,0.052876346,0.0073219966,0.0075390823,-0.010627361,-0.14728625,0.08321923,0.08967267,-0.118462384,-0.0652864,0.046399042,0.028552989,0.053679157,0.07134071,0.062841944,-0.05819931,-0.0100079095,0.0733903,-0.027471608,-0.061442643,-0.00639524,-0.029077511,0.009705169,0.18729445,0.09253839,-0.105395414,0.09885617,0.0076424708,-0.13814847,-0.012441447,0.059102684,0.13933429,-0.05795019,0.007833454,0.040512912,-0.01853975,0.0026741652,-0.03223215,0.055041414,-0.16382724,0.07236105,-0.08134796,-0.06612752,0.11225764,-0.04226484,-0.022905342,0.08759781,-0.051675227,-0.03363966,0.09098993,0.04811589,-0.012919057,-0.0639943,-0.07446135,-0.03282726,0.12737288,-0.015015957,-0.1253733,-0.005962883,0.007672818,-0.10253901,-0.07400871,-0.0073147556,0.14842798
003f7e2a32d6132d74bd1eafc793b6c1,0.11848861,-0.24394181,-0.054820452,0.0072978316,-0.119025744,0.16931105,-0.14998552,-0.114989184,0.13890797,0.29939935,-0.21806513,0.003929902,0.32490948,-0.10813181,0.15764047,-0.14211808,-0.028424772,0.11126928,-0.12269756,0.36461207,0.15614322,0.17392167,-0.16348517,0.3941022,0.11479305,-0.29861504,-0.015207594,0.22610503,0.020637352,0.28147534,-0.105219826,-0.15505289,0.24439025,0.3370045,0.37540138,0.048108224,0.21135119,-0.16429456,-0.12736164,-0.06588136,-0.07950641,-0.14139456,0.132684,-0.0791656,-0.0028351508,0.30926913,0.2896187,0.042801365,0.12287154,0.060621604,-0.34560713,0.015867459,-0.025105948,0.24263464,-0.18403573,-0.066676594,-0.3363511,0.30651554,-0.13376632,0.036056157,0.48962647,0.2728788,-0.23002617,0.1633112,0.11593946,0.3368426,0.18131332,0.041336723,0.19524452,-0.21993452,0.17646924,0.1105469,-0.49860153,-0.4457904,0.25706556,-0.18013321,0.024456942,-0.23813312,0.13545851,-0.2816228,0.01707631,0.075210765,-0.29796058,0.21367471,-0.1977514,-0.17110631,0.16251482,0.29136255,0.00066459784,-0.16250555,0.049161274,0.094778754,-0.28990176,-0.068978466,0.3200595,0.26943722,0.014548689,0.032441262,-0.015782852,0.14991082,-0.18498068,0.0980911,-0.2177083,-0.24554777,0.2341892,-0.13826092,0.00875986,0.059451416,-0.22060125,0.042002536,0.036828455,-0.37464672,0.23000574,0.46043307,0.18779007,-0.100096986,-0.29335165,-0.14352056,0.046810582,0.075409316,-0.1022956,-0.38295442,-0.13980596,-0.2252564,-0.26653072,-0.11008432,-0.030203454,0.26680806
004b3dc6622a2a9374f6c289faf52d92c014452076d83648adf8e09d9ac82512,0.024644239,-0.05498472,-0.026963739,0.015612614,-0.0025671362,-0.032275017,-0.045433972,0.01362554,0.04694415,0.006352919,-0.09332506,-0.08324021,0.0767073,-0.0054249926,0.088152714,-0.030330256,-0.013800544,0.02170812,-0.034000125,0.081364036,-0.0031652185,0.0010518619,-0.035281032,0.087924615,0.050444942,-0.019895108,0.03395169,0.0636264,0.018950356,0.020695293,-0.017107597,-0.031895977,0.0091318935,0.08620019,0.08953213,0.012836588,-0.002678957,-0.044981692,-0.034015637,-0.032092288,-0.07473749,-0.019116327,0.093120456,-0.018909723,0.009964161,0.08381959,0.0076903775,0.08369803,0.00073275866,-0.026742209,-0.022125063,0.046087865,0.020218238,-0.061165795,-0.020567864,-0.09106165,0.011065728,0.036069233,-0.049226273,0.06502665,0.057719734,0.030261122,-0.089905076,0.027980883,0.0038954976,0.054724704,0.0077900128,0.026728215,0.030582061,-0.10349106,0.027527496,0.054659557,-0.079592004,-0.062135093,0.03865051,0.030784396,0.042774163,0.04767728,0.046767946,-0.055622164,-0.020962771,0.053522807,-0.024993569,-0.02392758,-0.010211917,-0.02146472,0.011077712,0.1142974,0.03925511,-0.07223815,0.06749112,0.029912937,-0.10373726,-0.018261606,0.051283572,0.08809989,-0.05318992,0.019444557,0.05215957,-0.048277546,-0.009460697,-0.006501463,0.0091031715,-0.08540906,0.039396457,-0.046917304,-0.031783897,0.06342667,-0.05674984,0.009107647,0.038560063,-0.065489285,-1.4320714e-05,0.09036925,0.068584666,0.0028032744,-0.040664773,-0.057181507,0.004489154,0.07099247,-0.004974999,-0.08362652,-0.0088153295,-0.018307721,-0.04814515,-0.036249116,0.0027585197,0.06787321
0064bd63e7337da6616b0d6adb03ca99,0.011827633,-0.013957543,0.02264086,-0.051352628,0.027445326,-0.22943845,-0.2028809,0.010442774,-0.09000802,-0.06179478,-0.14138211,-0.24865113,0.0063329358,-0.071296126,0.25717092,-0.041055404,-0.06515656,0.0697815,-0.08017425,0.16272014,-0.038609657,0.1818179,-0.09173925,0.18729201,0.13503541,-0.09326646,-0.0016872416,0.20575066,0.015776275,0.1241523,-0.06290364,-0.07779747,0.032040913,0.31324482,0.16265395,0.02393906,0.044916272,-0.2824712,-0.13107045,-0.066338524,-0.17880757,0.052276038,0.18103094,0.013435632,0.11357778,0.28414398,-0.015339905,0.13651651,0.03633119,-0.08578998,-0.025948592,0.12000799,0.086039074,-0.09544581,-0.13495725,-0.28959635,-0.05235457,0.04755256,-0.09476356,0.08895659,0.2870488,0.09930819,-0.25477576,0.19703268,0.017069686,0.020653632,0.07102413,0.04854479,0.0248923,-0.17735878,0.121054165,0.20744847,-0.26829624,-0.06177074,0.1317668,0.04537572,0.14275682,0.07966396,0.1309526,-0.042486235,-0.056864332,0.09642161,-0.11850889,-0.026486354,0.06182103,-0.07684838,0.08854615,0.31298792,0.20098136,-0.14456438,0.114096284,0.042947322,-0.23832397,-0.028675077,0.15900046,0.25253588,-0.04846771,0.027566982,0.10121832,0.0016257776,-0.021279804,-0.008008221,0.0817283,-0.33276114,0.20811002,-0.10767198,-0.15960437,0.13034756,-0.028761338,-0.069851324,0.1788672,-0.047050912,-0.021467699,0.17021318,-0.0014404327,-0.029730206,-0.08736717,-0.20845313,-0.033046905,0.23728143,-0.1181006,-0.25384334,0.02502214,0.016114343,-0.21232522,-0.15443608,-0.0287235,0.3022378
009ed622bf936a036828fab19ceb69d78264ab51507396a3809bbe947ddd9ddf,0.029913098,-0.08700986,-0.0072213714,-0.011702704,0.013316918,0.010610112,0.00088740874,0.0486439,0.012200721,-0.010609262,-0.08347885,-0.027860293,0.0070701037,0.015748195,0.025393395,-0.060977228,-0.012481781,-0.0016667424,-0.027194705,0.095910504,0.010529379,-0.046280608,0.04720777,0.025116391,0.063234724,-0.016028551,-0.017781842,0.07955583,-0.010159267,-0.020141903,-0.049204186,-0.024261389,0.050926737,0.053254444,-0.015868137,0.037773147,0.016369153,-0.07191069,-0.030971019,-0.017785352,-0.06763795,0.06953502,0.040682,-0.056859355,0.033538952,0.04416058,-0.052199338,0.036716115,-0.037259478,-0.012134101,-0.048199277,-0.017307844,-0.025748067,-0.005765791,-0.05875332,-0.057231106,-0.03907424,0.0136657115,-0.011098541,0.08143486,0.07213681,-0.0019315407,-0.0845023,0.023993809,0.05898694,0.08321667,0.046026383,0.012371184,0.045882676,-0.048319083,0.03427746,0.054674733,-0.074896485,-0.035428856,0.091048785,0.030340862,-0.005042677,-0.0049352455,0.07421558,-0.09971832,-0.0102197025,0.031930093,-0.06114412,-0.021599133,-0.023958083,-0.039887942,-0.063939035,0.112774216,0.015945097,-0.09363902,0.0146082435,0.025730528,-0.08673422,-0.00017132168,0.03665467,0.012279723,-0.012017158,0.06472761,0.07776076,-0.014725157,-0.041541066,0.004209812,0.017974278,0.020096416,0.025888477,-0.04156039,-0.0044924743,-0.012061433,-0.06479073,-0.0059938976,0.019100891,0.012028398,-0.0062656626,0.084280245,0.05202799,-0.014156636,-0.0700052,-0.06665417,0.014172139,0.07849977,0.014289893,-0.08944747,-0.040481243,-0.03401223,-0.0012099463,-0.029505905,-0.0013730798,0.006599032
00bc7defa16eb3171966a8fb0e740750,0.025041131,-0.055664897,-0.033201944,-0.0074245636,0.0156446,-0.09631788,-0.031938855,0.04297265,0.01900872,-0.018008487,-0.0789877,-0.09496266,0.04131734,0.020987818,0.10177822,-0.008694342,-0.008400316,0.027200809,-0.019226402,0.08261411,-0.018811777,-0.014501204,-0.019906063,0.05923661,0.049961764,0.00828237,0.0594044,0.062995814,0.021653328,-0.029211508,-0.018786369,-0.011590744,-0.05839545,0.06355569,0.06544294,0.017174289,-0.025869975,-0.032907613,-0.04626458,-0.03364336,-0.07276121,0.012273973,0.1100017,-0.016932065,0.032613672,0.10099674,-0.03879237,0.113572955,-0.009868035,-0.04704031,0.031538952,0.051817477,0.027671184,-0.107897945,-0.008399097,-0.13588828,0.06317353,-0.013314104,-0.053089187,0.047091573,0.011864849,0.0009746952,-0.08698791,0.023809634,-0.020838313,0.037061855,-0.01717899,0.006773707,0.030493416,-0.107332475,0.026212346,0.042379502,-0.04613545,-0.017868074,0.034778506,0.06065267,0.020654261,0.07877362,0.054567438,-0.049672276,-0.021845438,0.084880516,-0.00043821434,-0.051604826,0.002396547,-0.0003504417,-0.0217849,0.09614282,0.06334981,-0.074923396,0.07004402,0.023577,-0.077067986,-0.00045960088,0.007821146,0.09315321,-0.053959552,0.04350997,0.061460044,-0.0802024,0.0014634499,-0.016781446,0.06055701,-0.08426648,0.025051985,-0.043057535,-0.055591416,0.06924969,-0.009286479,0.024008367,0.063384555,-0.01827707,-0.062253512,0.07492247,0.05520189,-0.006045956,-0.022812601,-0.053999864,-0.0011833338,0.08045087,-0.010712253,-0.057628207,0.012055952,0.012925388,-0.0272095,-0.03843979,-0.010577011,0.07780361
00c7fd6908fc5a04ab47adc5c7829ca7,0.033584367,-0.034223516,0.015660608,-0.035594113,0.06931725,-0.14287803,-0.10604145,0.020239754,-0.034011815,-0.025175462,-0.1144398,-0.14448753,-0.0037170423,-0.03718974,0.17316058,-0.02173185,-0.010837257,0.012375555,0.009801186,0.14669204,-0.07274493,0.08566343,-0.036438372,0.1450488,0.09376567,-0.030117048,0.007510752,0.1467398,-0.018935984,0.027555874,-0.029197495,-0.04889694,-0.02290817,0.2126368,0.0723634,0.0066148094,-0.009513233,-0.1313608,-0.06794793,-0.0027008115,-0.110998,0.024275187,0.113782294,-0.008116895,0.053899445,0.15319599,-0.02418376,0.1349625,0.024537222,-0.09555914,0.013952437,0.04095178,0.031632826,-0.072988346,-0.04462929,-0.21357523,0.0016446258,-0.035908323,-0.06601582,0.03412484,0.11910962,0.027705297,-0.16755676,0.08238771,-0.021574603,0.041283883,0.042709097,-0.03395553,-0.034436062,-0.13945575,0.11371626,0.10475238,-0.17736626,-0.03890797,0.10547066,0.0065649003,0.052082263,0.034956545,0.059645545,-0.05616623,-0.0025870188,0.08609849,-0.042418905,-0.061063457,0.0034038257,-0.055881232,0.03381127,0.2231099,0.1342574,-0.110252246,0.09442446,-0.015067899,-0.12402244,0.004491158,0.08783292,0.14758888,-0.033027355,0.011439249,0.0068475693,0.041064717,0.0018265964,-0.014002638,0.06823058,-0.2179635,0.06663297,-0.07088896,-0.046368394,0.10201929,-0.004470347,-0.062233232,0.088243626,-0.033152148,-0.051838975,0.100983895,-0.0049047614,-0.039876033,-0.047816806,-0.07086223,-0.058560394,0.15415858,-0.04942985,-0.11873882,0.019229239,-0.008719968,-0.15050891,-0.09216306,-0.07668203,0.20848814
00d50962dce0b43d78a3a5e830255150,0.039002243,-0.09571199,-0.052895878,0.0005556983,0.0033870195,-0.031514723,-0.021816075,0.040105652,0.06934284,0.010913299,-0.099692985,-0.08319502,0.0776996,-0.0076527568,0.0830652,-0.029898899,-0.014175203,0.007868415,-0.051481057,0.0802933,0.005978061,-0.045087904,-0.0122797005,0.072737455,0.06191054,0.0023807136,0.059188467,0.051185332,0.041800033,-0.03534913,-0.016029706,-0.0345637,-0.014168529,0.040377975,0.060640443,0.021780003,-0.019211208,-0.037577968,-0.039365895,-0.04304896,-0.0944705,-0.00485104,0.09074798,-0.067677274,0.01887073,0.0798277,-0.015871782,0.08556451,0.0027680642,-0.03416657,0.01963922,0.03697305,0.021219345,-0.07714582,-0.020979607,-0.10352278,0.05137689,0.035343148,-0.03786312,0.075870365,0.020697946,0.02269134,-0.09213373,0.015468244,0.016756512,0.0569478,-0.008599469,0.03424601,0.06367843,-0.09757006,0.0040925895,0.026680773,-0.054125216,-0.05001732,0.032745294,0.05765843,0.02028379,0.08114964,0.0759516,-0.0989693,-0.035460263,0.07543503,-0.0073852804,-0.05164398,-0.0331778,-0.007967763,-0.02246823,0.09069282,0.018478379,-0.089494735,0.07447281,0.032648973,-0.10078929,-0.028499184,0.029287638,0.0932411,-0.05915671,0.05698022,0.08054082,-0.10451181,-0.013974273,-0.005141036,0.054251418,-0.059769146,0.033315584,-0.053267863,-0.049429264,0.062526405,-0.047735475,0.042051785,0.03544923,-0.04492329,-0.027630914,0.07806893,0.07298401,0.0048395484,-0.03966275,-0.060186394,0.02725047,0.057654366,0.010357792,-0.080443904,-0.0067700683,-0.02339756,-0.019942245,-0.03085352,0.03152046,0.028011072
00f83a459e206283925ff0c2ac976d23,0.015367418,-0.039323237,-0.0001375415,-0.047766097,0.03481846,-0.061820157,-0.0077310065,0.04882246,-0.012946919,0.014005592,-0.046404894,-0.031619832,0.00031148794,-0.030776955,0.061543703,-0.020510502,0.01087245,-0.010844029,-0.024558118,0.07951991,0.0022868987,-0.0012644086,0.018805774,0.04256013,0.044271182,-0.021280117,0.0059694876,0.071508676,0.009540388,0.0022918808,-0.041272346,-0.026488531,-0.035541113,0.07332557,0.029308302,0.0049259546,-0.012051071,-0.036717456,-0.024750192,-0.0038786195,-0.04203663,0.015376819,0.03728596,-0.05058347,0.040747717,0.07326436,-0.009357334,0.06069747,0.014067811,-0.018945744,0.020899218,0.005270383,-0.0034523332,-0.03491761,-0.030759327,-0.096677564,-0.0057205227,0.0089647,0.0028159798,0.0064111585,0.050898552,0.023459518,-0.07872118,0.024632838,-0.013304256,0.025228964,0.03442365,-0.022043103,0.038293935,-0.05390446,0.021453343,0.016284198,-0.08435031,0.0006345748,0.075748496,0.015920103,-0.0051740077,0.03563296,0.06366431,-0.06248867,-0.0073311604,0.05626972,-0.038721442,-0.023506235,-0.017182276,-0.03050923,0.007410864,0.081526265,0.03544118,-0.071126826,0.044783972,0.014125409,-0.043380868,-0.0043444936,0.0419422,0.036198143,-0.005351356,0.050119136,0.024026372,-0.016712293,0.0024137371,0.019580064,0.05389876,-0.06442488,0.016236395,-0.026595153,-0.024417818,-0.0020848485,0.03138964,-0.01239492,0.031167911,0.019155473,-0.04255219,0.0374554,-0.019586632,-0.016161049,-0.029224746,-0.052839223,0.02562187,0.0599304,-0.016845446,-0.052411117,0.02106271,-0.039300606,-0.04458477,-0.04833529,-0.042386685,0.060248684
014cd58f9fe4febcfc159ca9b2253c65,0.03821414,-0.06886756,-0.020689614,0.0056522824,0.011495069,-0.04441324,-0.035298925,0.031119399,0.029826313,0.007816148,-0.08528631,-0.08181807,0.054004315,0.0033742671,0.09062184,-0.027893052,-0.006707927,0.009946318,-0.021710293,0.08913225,-0.00070221146,-0.01406004,-0.011459542,0.0891499,0.07575088,-0.008259379,0.044586293,0.074887745,0.012510147,-0.023357365,-0.018665643,-0.03633937,0.006075611,0.06827133,0.0606864,0.024367552,0.0025395378,-0.054757986,-0.02998647,-0.026997825,-0.08657966,0.010586668,0.08304814,-0.032093704,0.027479062,0.078971945,-0.015305245,0.09401846,0.0020076882,-0.0495479,0.007110373,0.034657884,0.009278832,-0.06269812,-0.011598161,-0.10544989,0.02125847,0.011890006,-0.05548968,0.06571763,0.04852991,0.016476028,-0.09985166,0.030690102,0.014240239,0.06497395,0.011436537,0.0020870299,0.039727747,-0.11019347,0.04679401,0.043609396,-0.076929815,-0.070168935,0.04037149,0.02411105,0.014174943,0.052050725,0.061231546,-0.07582034,-0.011061325,0.06279607,-0.025216518,-0.03709698,-0.027465712,-0.013050409,-0.015828578,0.108864106,0.04527133,-0.09589286,0.077262044,0.023564015,-0.10016214,-0.0106449025,0.040012863,0.081684105,-0.044910304,0.02582931,0.051141504,-0.04888859,-0.009550293,-0.0064913956,0.029237974,-0.073217355,0.029709963,-0.049849663,-0.035712212,0.05203334,-0.044987697,0.010770032,0.047500785,-0.03521437,-0.020459654,0.09097805,0.048290312,-0.010141479,-0.059137624,-0.047882386,0.0066695483,0.05927059,0.007194287,-0.092818215,-0.022869525,-0.0066277506,-0.041981388,-0.041750554,0.003990088,0.06403
