type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
003f3e6fc1634f4fc95c9a2e80bcf1fa,0.067136824,-0.051949013,-0.027325008,0.017571801,-0.020986091,0.120586164,0.0077774567,0.03739496,-0.08976535,-0.036557652,-0.037327733,0.0047825826,0.004031272,-0.002329232,-0.02304581,0.001590999,0.054517273,0.07662508,0.046656605,-0.071676016,0.02580972,0.010180996,-0.053040218,-0.0492683,-0.019228593,-0.03687569,-0.054660074,0.0036653492,-0.067846835,-0.09298354,-0.044708733,-0.022118675,0.024572475,0.07813832,0.05876935,-0.0322853,-0.032923117,-0.07802046,-0.015235332,0.06335051,-0.09258653,-0.07764185,-0.090113334,0.04941025,-0.05010681,-0.043494176,0.0059683663,0.0051634726,0.00845585,-0.012562584,0.01596513,-0.011974146,-0.014858735,-0.09613486,-0.043824878,0.10870913,-0.03580259,-0.013093969,0.014016957,-0.011132059,0.06891419,0.010957072,0.0013191054,-0.0432717,0.079238795,-0.09157111,0.104808725,-0.031225996,0.061976127,0.010010644,-0.061338466,0.057200383,0.00967338,-0.006695988,-0.07928248,-0.053675234,-0.039563093,0.037182704,-0.024782129,0.002044975,-0.06604937,0.07136319,0.03188987,0.048154786,0.080732495,-0.004544156,0.0540162,-0.066916145,0.010908475,0.036715038,0.03410837,0.04481217,0.07498146,-0.053318676,-0.11291112,0.05270671,0.06754232,0.09313287,-0.074225895,0.052416503,0.05934944,0.038526736,0.013269977,0.015099984,0.011311321,0.0489032,-0.046946112,-0.0027759,0.08395014,-0.021571627,0.003163745,0.06315178,-0.10119218,-0.024855126,0.031269714,-0.036323242,0.030754993,0.004759867,-0.07601553,0.05427393,0.101314604,0.11187886,-0.0023266603,-0.020291975,0.0013975601,0.047465418,0.029398136,0.031111585
003f7e2a32d6132d74bd1eafc793b6c1,0.31711444,0.10956628,0.28255916,0.04406649,-0.27999082,-0.085323445,0.1117911,-0.10693538,-0.017608572,-0.20885211,-0.27853307,-0.10116835,0.3722844,0.03947117,0.23268028,0.15533318,-0.04730821,0.2664118,0.02881819,-0.35274515,-0.10951207,-0.21394503,-0.066362225,-0.30981424,0.058385596,-0.04700688,0.0031596492,-0.2565903,-0.33881956,-0.2649812,-0.38214725,-0.12131713,0.19329019,0.30543354,0.007479896,-0.22063808,-0.13438824,-0.22514884,0.20864476,0.322099,-0.009144422,-0.22731866,0.11131777,0.24517003,0.23760399,0.10241969,0.23358245,0.14407079,-0.42362535,-0.24591628,0.31179884,0.04088388,-0.055378634,0.073063575,-0.025325665,-0.028947411,-0.3732314,-0.2845829,0.2648408,-0.07637902,-0.015486222,-0.08435003,0.14334404,-0.31568822,0.007049044,-0.31069064,0.051688097,-0.4354496,0.25145054,0.3827351,-0.36498165,-0.08287674,0.31705287,-0.09665715,-0.28772172,-0.0489583,-0.20431598,-0.01851418,0.5657082,-0.1334985,-0.06555475,0.3178109,0.22801189,0.065666184,0.17314076,-0.35117993,0.33270672,-0.082267985,-0.32051787,0.037380498,0.027582696,0.00052807207,0.15451221,-0.41171262,-0.15468588,0.04627497,0.18221676,-0.20992532,-0.24359311,-0.030954065,0.30759364,0.2624794,0.26385656,0.3085424,0.231649,0.07215116,0.19724722,0.084631495,0.11035248,0.0118030105,-0.1938839,0.21232352,-0.2966453,0.15472984,0.036806997,0.21457087,0.44893414,-0.13038425,-0.014377146,-0.08445481,0.014067918,0.17753857,-0.11397674,0.07317335,0.22222824,0.010844859,0.23528355,-0.062716745
004b3dc6622a2a9374f6c289faf52d92c014452076d83648adf8e09d9ac82512,0.057561144,-0.015462315,0.003210172,0.021905849,-0.022928525,0.036637507,-0.0071864245,0.021505669,-0.033878073,-0.038772225,-0.028845703,-0.0008765818,0.012282552,-0.0054436447,-0.0034561243,0.0069089076,0.013309926,0.05877643,0.0030965502,-0.061593786,0.014085306,-0.02299984,-0.0157784,-0.057964344,-0.014558173,-9.5907555e-05,-0.028416814,0.010836668,-0.09682499,-0.07589833,-0.047850937,-0.034309734,0.04767998,0.0808261,0.031806156,-0.023012314,-0.021107983,-0.023764344,0.0036130596,0.05589067,-0.068786405,-0.050895523,-0.027583392,0.045886368,0.0008972815,-0.011038433,0.017323503,0.038045183,-0.05133051,-0.025421182,0.016031217,0.021076744,0.019690108,-0.06444303,-0.019313544,0.0631549,-0.06988386,-0.024768796,0.018864019,-0.021942329,0.00775902,-0.0073500434,0.011014148,-0.036354546,0.04062141,-0.059585046,0.03835532,-0.06576933,0.050862413,0.03152958,-0.06947562,0.016752262,0.023272214,-0.0023301607,-0.05205144,0.0028116049,-0.041080274,0.019802159,0.02072433,-0.011741878,-0.049401555,0.053966977,0.05277837,0.026931508,0.051361855,-0.032361083,0.047126636,-0.057058915,-0.009840709,0.03831001,0.043268993,0.031616688,0.04546093,-0.04761921,-0.07406263,-0.009687761,0.06507147,0.036639012,-0.058441903,0.021591518,0.07887656,0.033706367,0.035343394,0.03928963,0.040215306,0.023746634,0.01334652,0.0030304103,0.043977577,-0.024839887,-0.030892773,0.027396908,-0.08855096,-0.0070010414,0.007764111,0.021084134,0.052957915,-0.0041005234,-0.05144359,0.043641493,0.04952887,0.08877559,-0.022176415,-0.002771519,0.041657116,0.01565932,0.0395926,0.009722977
0064bd63e7337da6616b0d6adb03ca99,-0.027877454,-0.12768424,0.0216411,0.047932293,0.053470362,0.1610368,0.04803471,0.010646963,-0.075466186,0.05169001,-0.037731312,0.06621983,-0.033059496,-0.06135708,-0.05061046,-0.04895345,-0.002601249,-0.0068754414,0.1882951,-0.00066170405,0.10930971,0.017522667,-0.008277054,0.011933697,-0.09180336,-0.04180155,-0.2132165,0.06938994,-0.059755594,-0.056677986,-0.017555468,-0.06231773,0.03154582,0.035888944,0.08391279,-0.013923048,0.02347091,-0.109716184,-0.08922458,0.057450335,-0.10523594,-0.08054965,-0.16022591,0.06146615,-0.066843905,-0.08564023,-0.08005209,0.016370675,0.066158965,-0.020192891,0.05914828,-0.09626145,-0.08811752,-0.15000297,-0.07688015,0.15355635,0.08033295,0.06399254,0.011719782,0.028392976,0.021047238,-0.015540723,-0.07606745,-0.026762951,0.116755694,-0.018114882,0.10847418,0.095626265,-0.03676364,-0.11053295,-0.011135273,0.16775556,-0.03185357,-0.034542985,-0.10979825,-0.1424899,-0.002424241,0.04313667,-0.08849846,0.09037636,-0.038621426,-0.021612845,-0.04946405,0.0855847,0.050818846,0.022485327,-0.001280909,0.038024634,-0.027714888,0.009603826,-0.019377515,0.06435366,0.18490984,-0.018888446,-0.06533043,0.112138316,-0.06696452,0.09045379,-0.07905054,-0.057120353,-0.016027782,0.082771026,0.023597771,0.029359048,-0.024820633,0.01584111,-0.13105881,-0.0872446,0.10032507,-0.026355013,0.040303573,0.07116767,-0.07355625,-0.023103349,0.020793343,-0.05755844,0.013187111,-0.017994432,-0.16211961,0.078029215,0.14651354,0.22358312,0.13695551,-0.11273066,-0.103643954,0.12783691,0.02909291,0.09995871
009ed622bf936a036828fab19ceb69d78264ab51507396a3809bbe947ddd9ddf,0.052520543,-0.013672162,0.0003400623,0.01719111,-0.01747026,0.04408703,0.011664458,0.008614375,-0.049305744,-0.03569914,-0.0430944,-0.005500944,0.039477523,-0.008069529,0.0017305589,0.007824282,0.018208724,0.05334189,0.020527078,-0.062484976,0.009817128,-0.008313851,-0.029845025,-0.051411435,-0.011247172,-0.019199679,-0.029358447,-0.010056588,-0.073718935,-0.0656411,-0.059177384,-0.021145346,0.032714885,0.063204125,0.044874214,-0.031540807,-0.027169062,-0.045997202,0.003195019,0.05668028,-0.04885935,-0.05950886,-0.034798354,0.045891114,-0.004989114,-0.020770311,0.019410647,0.023134153,-0.018790213,-0.036049392,0.0388805,-0.004515868,-0.003464275,-0.04345245,-0.020096045,0.041297145,-0.059970994,-0.03585696,0.03431555,-0.008482241,0.023160249,0.017130738,0.00872391,-0.05498755,0.03967157,-0.078625396,0.04492435,-0.060803782,0.042742826,0.041054185,-0.0715009,0.016924938,0.03511272,-0.0040935744,-0.059486024,-0.025940133,-0.042962003,0.017061198,0.021299062,-0.014835692,-0.027019288,0.06200669,0.03166773,0.038728517,0.056745626,-0.03531027,0.054811563,-0.04227082,-0.03666855,0.02354668,0.02320259,0.0290937,0.05681741,-0.06317967,-0.0563023,0.020333325,0.04708901,0.016260028,-0.05058316,0.013413319,0.05885142,0.052702926,0.030375326,0.036505926,0.023359217,0.025281193,-0.008740008,0.003348682,0.06549045,-0.0101207895,-0.019727616,0.05196527,-0.06616827,0.0024133143,0.014889566,0.006707031,0.0509119,-0.002142829,-0.04908744,0.03227064,0.049625613,0.08235749,-0.024550898,-0.007933742,0.021390423,0.03316425,0.032033537,0.011502458
00bc7defa16eb3171966a8fb0e740750,0.06922856,-0.0026150306,-0.05098002,0.004044773,-0.037863594,0.09971407,-0.009048791,0.023945982,-0.11163634,-0.07797825,-0.04795347,-0.025470147,0.023914376,0.0016695983,-0.00741879,0.031455107,0.044436507,0.09053271,0.0013248554,-0.07486704,0.01578711,0.004364836,-0.05027304,-0.06850052,-0.0069492604,-0.002988451,-0.027853893,0.00855668,-0.08010411,-0.11198564,-0.057345953,-0.039303713,0.03505797,0.08754463,0.0746878,-0.021071615,-0.042833656,-0.06518265,-0.021568686,0.059291504,-0.08167081,-0.07699786,-0.056889594,0.048602674,-0.03816446,-0.037475362,0.026617408,-0.005870621,-0.009608613,-0.013469789,0.00628294,0.013318292,0.039502874,-0.07930254,-0.0385112,0.0811609,-0.07903952,-0.03757759,0.031473543,-0.010081168,0.057681315,0.03845379,-0.006357712,-0.047828514,0.062776454,-0.09724142,0.09272048,-0.08788994,0.072743766,0.053461645,-0.075144954,0.02937824,0.01484067,0.005953196,-0.07548954,0.0054690936,-0.05406732,0.047090262,-0.015718663,-0.020047909,-0.07562627,0.07816648,0.04967736,0.040004708,0.09467046,-0.0088802725,0.052802294,-0.08084307,0.0074810856,0.046860285,0.06717687,0.06371615,0.052311268,-0.06382034,-0.10851401,0.011762422,0.08551933,0.05846486,-0.05775715,0.050823428,0.086604044,0.040159024,0.014708396,0.019651948,0.019816503,0.0639421,-0.030974474,0.014194462,0.100743964,-0.006745465,-0.03180128,0.09893763,-0.089167155,-0.023310477,0.018220348,-0.01743982,0.043725275,0.010500984,-0.07963439,0.06300122,0.09461241,0.07842646,-0.04532842,-0.012180066,0.031696968,0.054743733,0.015202973,0.02698761
00c7fd6908fc5a04ab47adc5c7829ca7,0.0643829,-0.072472595,-0.019001788,-0.012766447,-0.047454312,0.13027887,-0.01445964,0.05174331,-0.077068284,-0.040771205,-0.035386957,0.020114318,-0.020083334,-0.015401796,-0.025823375,0.00025844586,0.05580527,0.07783956,0.05902023,-0.056095198,0.024031514,-0.007882736,-0.047980595,-0.056839116,-0.031768564,-0.008721954,-0.0391353,0.045770075,-0.06741277,-0.08293178,-0.020957895,-0.05148221,0.057741538,0.08609382,0.039790776,-0.0091345515,-0.038843557,-0.04015527,-0.023539238,0.082513556,-0.085205324,-0.06976324,-0.1300779,0.033516508,-0.048472732,-0.035119455,-0.00940687,0.011235251,0.03136685,-0.0016971808,-0.030470934,0.014992682,0.013528208,-0.09232584,-0.051269244,0.11394589,-0.027707387,-0.016674895,-0.007871088,-0.053950574,0.06542925,-0.04453028,-0.008841837,-0.007856837,0.062306058,-0.09548031,0.10411226,-0.00627701,0.07085429,0.009532188,-0.057904482,0.0654689,-0.014730805,0.020388853,-0.034057446,-0.036529902,-0.027227478,0.050712366,-0.030355671,0.03247067,-0.08578545,0.041520037,0.058899183,0.034576606,0.039026283,0.01673823,0.024112048,-0.06341108,0.046419907,0.06690243,0.034912154,0.047544677,0.06603659,-0.041489515,-0.13222718,0.021134356,0.097062126,0.12169914,-0.06595802,0.07055312,0.082564905,0.008779082,-0.021394212,0.0049148523,0.0043699923,0.035363685,-0.027652288,-0.0074159135,0.059625637,-0.05281402,-0.021630174,0.040650215,-0.1099483,-0.05313972,0.041124847,-0.0072246,0.03506238,-0.0013241194,-0.07818822,0.063711405,0.10502846,0.10468343,-0.0074472288,-0.011069601,0.025386037,0.0320088,0.05543034,0.031328708
00d50962dce0b43d78a3a5e830255150,0.09145602,-0.004649514,-0.048013385,0.013499493,-0.03716807,0.06654502,-0.009577602,0.024911338,-0.0971375,-0.060697053,-0.028960712,-0.021667147,0.032863576,0.0018578937,-0.009790197,0.027439669,0.033054292,0.08883068,-0.011702482,-0.07753168,0.018415323,0.012386222,-0.04566539,-0.07518606,0.0018999095,-0.004899798,-0.028311264,-0.017299024,-0.075310156,-0.09085882,-0.06447785,-0.027091043,0.021021327,0.07360785,0.054032385,-0.039084867,-0.039862808,-0.057730477,0.006938589,0.052319296,-0.07191609,-0.07269688,-0.039619554,0.05220953,-0.039936937,-0.030403236,0.031957403,0.004912128,-0.017498415,-0.018954646,0.018037422,0.0146920765,0.019226987,-0.061052714,-0.029978968,0.071402095,-0.08769508,-0.046435516,0.024066184,-0.013954995,0.043703876,0.042228203,0.023859775,-0.060158063,0.0591956,-0.09486487,0.08231868,-0.07004168,0.08224461,0.058839098,-0.07851564,0.011206275,0.018602215,0.0049803024,-0.079441026,0.00021928642,-0.06710352,0.027213236,0.0059758346,-0.026687752,-0.06797281,0.085281655,0.029510463,0.02906887,0.091315374,-0.013658181,0.052952096,-0.08914644,-7.915718e-06,0.030282222,0.06431365,0.056937154,0.042884786,-0.07430653,-0.094788656,0.01593597,0.06678514,0.045048848,-0.061459158,0.041070923,0.08404847,0.046331808,0.022435438,0.026659101,0.03394476,0.05789083,-0.014264495,0.008708271,0.08108484,0.0046915994,-0.044619992,0.07389189,-0.08650551,-0.006482075,0.02310951,-0.011466553,0.040082484,0.0037562503,-0.04724341,0.036479846,0.08099571,0.08233726,-0.043338563,0.0055771,0.025692208,0.03532855,0.022918621,0.012789173
00f83a459e206283925ff0c2ac976d23,0.06545057,-0.014681867,0.0048277783,0.0024740477,-0.045203153,0.04824982,0.00012397405,0.006006869,-0.047684543,-0.04517831,-0.039069556,0.005570154,0.025837237,-0.011857858,0.016978517,0.0076104575,0.018092187,0.061843984,0.026580561,-0.057384085,0.01959057,-0.015623346,-0.03033729,-0.053386528,-0.012279631,-0.0073193405,-0.023219584,-0.003360277,-0.07639677,-0.0748039,-0.047965888,-0.039767828,0.044928227,0.07220682,0.027662363,-0.023021795,-0.02328031,-0.030783322,0.0010672619,0.06534315,-0.042403072,-0.059167005,-0.03982838,0.042679753,0.0076762987,-0.01989753,0.011986903,0.027600612,-0.023826333,-0.034779515,0.029405827,0.007119128,0.007918481,-0.053423926,-0.026269555,0.053678907,-0.06600399,-0.029357389,0.033096295,-0.028624002,0.020629568,-0.0013430866,0.00947717,-0.034945324,0.0486631,-0.063339435,0.03847103,-0.050298303,0.05239109,0.03548775,-0.07205438,0.022461358,0.023244245,-0.0012762672,-0.059623223,-0.027259378,-0.041640334,0.020313337,0.024597341,-0.0069681187,-0.043964107,0.058081288,0.04583184,0.020145833,0.045605805,-0.024610937,0.040542632,-0.042955473,-0.020665463,0.031376764,0.031615708,0.025748225,0.05629902,-0.057922978,-0.075499244,0.020223502,0.049908273,0.028629456,-0.05382102,0.012988682,0.07034139,0.03587059,0.024889713,0.045412857,0.026515068,0.028501606,-0.0027003074,0.009311955,0.05441804,-0.013010465,-0.028139831,0.034856487,-0.0798931,-0.0009360299,0.019046512,0.019172221,0.052879747,-0.010510194,-0.035940167,0.024653032,0.059793424,0.08073789,-0.020843532,-0.0013780028,0.037059337,0.022898218,0.04999487,0.01477317
014cd58f9fe4febcfc159ca9b2253c65,0.078658655,-0.022170827,-0.007124896,0.024306409,-0.03822069,0.06809045,-3.9374652e-05,0.024458706,-0.070377566,-0.053891644,-0.050732452,-0.014655394,0.023971425,-0.0012317272,0.00045798492,0.009864858,0.032435164,0.07402141,0.012884602,-0.0947471,0.018267216,-0.009432437,-0.028096505,-0.07699911,-0.022724198,-0.008515347,-0.04964115,0.010496404,-0.11868134,-0.10576696,-0.064496815,-0.049679283,0.053703256,0.104720786,0.06116002,-0.037667695,-0.037979867,-0.05202154,-0.01201788,0.08783332,-0.09191901,-0.072707966,-0.05840948,0.05855286,-0.009495537,-0.040720657,0.025810018,0.024206787,-0.054696023,-0.03485309,0.029644137,0.0050754147,0.026849503,-0.08554683,-0.031767596,0.095988385,-0.08189205,-0.037496615,0.045163978,-0.014350193,0.03204531,0.016814778,0.0033861522,-0.059039444,0.077226184,-0.09710828,0.08126281,-0.07931579,0.070216775,0.03534966,-0.09897307,0.03639607,0.025642913,-0.0015024949,-0.08124644,-0.020049812,-0.06229573,0.03643875,0.01640435,-0.011321724,-0.07374388,0.077068135,0.060388,0.053407826,0.081255175,-0.04164122,0.06965668,-0.062126573,-0.0070887515,0.044645738,0.054048892,0.054829568,0.06417382,-0.06839451,-0.097337544,0.00959548,0.07151065,0.06484607,-0.07968231,0.040308446,0.081442885,0.054458905,0.036308467,0.053196367,0.042797893,0.04671149,-0.00031524425,0.011143665,0.086074635,-0.026962982,-0.023153996,0.06650195,-0.11321856,-0.008381592,0.020737527,0.009925704,0.06710518,-0.010093329,-0.06975575,0.058419507,0.08900221,0.11054544,-0.017014883,0.00414893,0.036871117,0.036600713,0.045288496,0.029331725
